CANTON,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,ALIANZA DEMOCRATA CRISTIANA,DE LOS TRABAJADORES,FRENTE AMPLIO,INTEGRACION NACIONAL,LIBERACION NACIONAL,MOVIMIENTO LIBERTARIO,NUEVA GENERACION,RENOVACION COSTARRICENSE,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,UNIDAD SOCIAL CRISTIANA,VOTOS NULOS,VOTOS BLANCOS
SAN JOSE,416,34657,575,303,1260,15513,27669,1608,1316,769,6227,37931,26598,1106,204
ESCAZU,94,7246,60,69,227,2674,7261,407,262,156,1166,4667,8963,194,26
DESAMPARADOS,397,24445,388,219,816,10014,19343,1182,887,593,5428,29462,15197,797,145
PURISCAL,54,4651,43,25,109,1945,4982,147,129,98,1722,2561,3103,189,56
TARRAZU,31,2293,34,11,96,494,1498,65,60,66,661,1051,1512,93,19
ASERRI,107,6424,84,59,201,2700,6024,296,204,167,1902,6351,3997,234,49
MORA,38,3686,43,14,91,1324,2584,139,135,74,680,2916,2826,128,45
GOICOECHEA,167,15556,270,113,516,5432,9590,650,576,387,2564,15886,9907,396,77
SANTA ANA,42,5701,60,65,100,2043,5528,269,213,98,947,3554,6507,165,31
ALAJUELITA,145,5813,132,89,217,3543,4020,433,517,239,1930,11106,3627,347,52
VAZQUEZ DE CORONADO,124,10608,181,80,306,3209,6063,417,317,218,2033,9270,5606,230,38
ACOSTA,34,2934,33,15,82,1207,2478,68,54,72,639,1547,1697,102,19
TIBAS,94,9852,172,68,272,3556,6862,393,343,163,1336,8609,7020,228,41
MORAVIA,79,9120,119,53,280,2708,5379,299,311,154,1000,6242,6503,166,26
MONTES DE OCA,53,10987,102,70,362,2249,5323,265,288,133,773,3732,6726,151,32
TURRUBARES,7,378,2,7,6,207,1148,22,5,8,133,367,612,15,7
DOTA,17,1243,8,10,41,299,764,18,31,24,217,400,565,41,8
CURRIDABAT,100,9016,128,62,294,2598,6728,351,277,122,1074,6153,7929,174,26
PEREZ ZELEDON,320,11554,209,153,562,5914,11294,583,431,448,3771,20444,15869,825,235
LEON CORTES CASTRO,20,1479,16,12,51,429,1344,62,39,59,473,725,1116,62,27
ALAJUELA,450,29960,420,259,783,11787,23677,1338,1070,641,6898,36581,20112,1117,195
SAN RAMON,139,14033,131,107,440,4534,6922,445,464,228,2589,9310,4462,442,123
GRECIA,125,9328,141,85,341,3325,7314,255,283,202,2984,10834,6690,355,75
SAN MATEO,8,470,4,5,19,255,860,39,10,9,250,471,556,30,7
ATENAS,46,4028,46,26,95,1196,2466,117,87,66,684,2772,2936,122,19
NARANJO,52,5525,72,50,103,1831,3913,139,162,118,1513,4572,3880,228,48
PALMARES,45,5862,39,57,171,1958,4264,139,158,94,839,3633,3685,196,30
POAS,61,3596,49,25,85,1174,3272,114,89,72,892,3842,2510,126,30
OROTINA,19,1319,19,15,41,799,2316,62,52,30,494,2147,1981,90,18
SAN CARLOS,281,11928,246,105,719,7029,12430,695,440,362,3608,24762,10449,873,179
ZARCERO,12,1618,20,21,39,390,1919,46,45,29,410,899,1660,54,21
VALVERDE VEGA,30,1877,30,25,77,915,1594,126,61,38,633,2398,1902,83,18
UPALA,70,1646,51,45,127,1052,3307,192,63,95,514,6191,1901,310,83
LOS CHILES,26,791,24,54,103,824,1049,63,23,51,287,2103,976,108,17
GUATUSO,17,404,21,9,35,392,1544,77,32,23,428,2719,759,111,26
CARTAGO,270,24665,3295,174,575,9491,19042,951,856,613,5269,10318,13872,1108,184
PARAISO,212,8478,421,69,268,6342,5418,316,269,282,2872,4613,3900,460,89
LA UNION,192,11902,397,83,378,4145,8441,599,468,300,2501,10656,8706,369,73
