Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
UPALA,M,35,RURAL,NO,NO,NO,SI,7,NO,SI,NO,NO,NO,HOMBRE,"43,953",1580.7,28,"11,518",3.81,NUEVA GENERACION,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LEON CORTES CASTRO,M,30,URBANA,NO,NO,NO,SI,7.1,NO,SI,SI,NO,SI,HOMBRE,"12,200",120.8,101,"3,377",3.61,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
TURRUBARES,F,52,RURAL,NO,NO,NO,NO,5.2,NO,NO,NO,NO,NO,MUJER,"5,512",415.3,13,"1,679",3.27,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PURISCAL,M,59,RURAL,NO,NO,NO,SI,6,SI,SI,SI,NO,NO,HOMBRE,"33,004",553.7,60,"9,787",3.36,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,NULO,ACCION CIUDADANA,ACCION CIUDADANA
PARAISO,M,33,URBANA,NO,NO,NO,SI,8.3,NO,SI,SI,NO,SI,MUJER,"57,743",411.9,140,"14,626",3.94,INTEGRACION NACIONAL,RESTAURACION NACIONAL,NO,INTEGRACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN JOSE,F,51,URBANA,NO,SI,NO,SI,9.2,NO,SI,SI,NO,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,INTEGRACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
ALAJUELA,M,33,URBANA,NO,SI,NO,SI,9.4,NO,SI,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,FRENTE AMPLIO,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,ACCION CIUDADANA
SAN JOSE,M,52,URBANA,NO,NO,NO,SI,9.2,NO,NO,SI,NO,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,NO,ACCION CIUDADANA,NULO,ACCION CIUDADANA
GOICOECHEA,F,63,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,RESTAURACION NACIONAL
TALAMANCA,F,61,RURAL,NO,SI,NO,SI,5.2,NO,NO,SI,NO,NO,MUJER,"30,712",2809.9,11,"7,999",3.83,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
