ALVARADO,M,42,RURAL,NO,NO,NO,SI,7.3,NO,SI,NO,SI,NO,HOMBRE,"14,312",81.1,177,"3,612",3.95,INTEGRACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
PEREZ ZELEDON,F,26,URBANA,NO,SI,NO,SI,8.1,NO,NO,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN CARLOS,F,62,URBANA,NO,SI,NO,SI,5.6,NO,NO,NO,SI,SI,HOMBRE,"163,745",3348,49,"44,966",3.62,ACCION CIUDADANA,ACCION CIUDADANA,RESTAURACION NACIONAL
FLORES,M,75,URBANA,NO,SI,NO,SI,9,NO,SI,SI,NO,NO,MUJER,"20,037",7,2879,"5,751",3.48,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,RESTAURACION NACIONAL
SIQUIRRES,M,24,RURAL,NO,NO,NO,SI,7.2,SI,NO,SI,NO,NO,MUJER,"56,786",860.2,66,"16,206",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
PUNTARENAS,M,52,URBANA,NO,NO,SI,SI,6.4,NO,SI,SI,NO,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,INTEGRACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GOICOECHEA,M,48,URBANA,NO,SI,NO,SI,10.5,NO,SI,SI,SI,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
GOICOECHEA,M,45,URBANA,NO,SI,NO,SI,10.5,NO,SI,SI,NO,NO,HOMBRE,"115,084",31.5,3653,"32,520",3.53,NULO,ACCION CIUDADANA,RESTAURACION NACIONAL
CARTAGO,M,19,URBANA,NO,SI,NO,SI,9.8,NO,SI,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
DESAMPARADOS,M,93,URBANA,NO,SI,NO,SI,7.7,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
ASERRI,M,28,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,HOMBRE,"57,892",167.1,346,"16,120",3.59,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PARAISO,F,31,URBANA,NO,SI,NO,SI,8.3,NO,NO,SI,NO,NO,HOMBRE,"57,743",411.9,140,"14,626",3.94,INTEGRACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
SANTA BARBARA,F,51,URBANA,NO,SI,NO,SI,7.2,NO,SI,SI,NO,NO,COMPARTIDO,"36,243",53.2,681,"10,107",3.58,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN RAFAEL,M,59,URBANA,NO,SI,NO,SI,8.3,NO,SI,SI,NO,NO,HOMBRE,"45,965",48.4,950,"12,957",3.54,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,RESTAURACION NACIONAL
PEREZ ZELEDON,F,64,URBANA,NO,SI,NO,SI,5.8,NO,SI,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,RESTAURACION NACIONAL
ALAJUELITA,F,46,URBANA,NO,NO,NO,SI,8.7,NO,NO,SI,NO,NO,HOMBRE,"77,603",21.2,3666,"19,832",3.91,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN JOSE,M,53,URBANA,NO,NO,NO,SI,9.2,SI,SI,NO,NO,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GOICOECHEA,F,24,URBANA,NO,SI,NO,SI,10.5,NO,SI,SI,NO,SI,COMPARTIDO,"115,084",31.5,3653,"32,520",3.53,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
NARANJO,F,52,RURAL,NO,SI,NO,SI,6.1,NO,NO,SI,NO,NO,HOMBRE,"42,713",126.6,337,"11,678",3.65,INTEGRACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
ALAJUELA,M,22,URBANA,NO,SI,NO,SI,9.4,SI,SI,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ALAJUELA,M,46,URBANA,NO,SI,NO,SI,9.4,NO,SI,SI,NO,NO,COMPARTIDO,"254,886",388.4,656,"72,031",3.49,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
