Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
TILARAN,M,32,RURAL,NO,SI,NO,NO,8.3,NO,NO,SI,NO,NO,HOMBRE,"19,640",638.4,31,"6,018",3.26,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
FLORES,F,36,URBANA,NO,SI,NO,SI,11.5,NO,SI,NO,NO,NO,HOMBRE,"20,037",7,2879,"5,751",3.48,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
CARRILLO,F,36,RURAL,NO,NO,NO,SI,8.8,NO,NO,SI,NO,NO,HOMBRE,"37,122",577.5,64,"10,141",3.65,ACCION CIUDADANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,M,30,URBANA,NO,SI,NO,SI,10.3,NO,NO,SI,SI,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE ORO,M,37,RURAL,NO,NO,NO,SI,8.9,NO,NO,SI,NO,NO,HOMBRE,"12,950",244.8,53,"3,929",3.29,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
NARANJO,F,22,RURAL,NO,SI,NO,SI,8.5,SI,NO,SI,NO,NO,HOMBRE,"42,713",126.6,337,"11,678",3.65,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
NICOYA,M,50,URBANA,NO,SI,NO,SI,6.7,NO,NO,SI,NO,NO,HOMBRE,"50,825",1333.7,38,"15,038",3.38,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
BUENOS AIRES,F,46,RURAL,NO,NO,NO,SI,6.7,NO,NO,SI,NO,NO,HOMBRE,"45,244",2384.2,19,"12,205",3.7,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
POCOCI,F,24,URBANA,NO,NO,NO,NO,7.6,NO,SI,SI,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,54,URBANA,NO,NO,NO,SI,7.4,NO,NO,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,NULO,ACCION CIUDADANA,ACCION CIUDADANA
PALMARES,F,58,URBANA,NO,NO,NO,SI,7.2,SI,NO,NO,NO,NO,HOMBRE,"34,716",38.1,912,"9,657",3.58,MOVIMIENTO LIBERTARIO,ACCION CIUDADANA,SI,MOVIMIENTO LIBERTARIO,ACCION CIUDADANA,ACCION CIUDADANA
LIBERIA,F,29,URBANA,NO,SI,NO,SI,9.4,SI,NO,SI,NO,NO,MUJER,"62,987",1436.5,44,"16,577",3.75,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,61,URBANA,NO,SI,NO,SI,7.4,NO,NO,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PEREZ ZELEDON,F,34,URBANA,NO,SI,NO,SI,8.1,NO,SI,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
POCOCI,M,42,URBANA,NO,SI,NO,SI,7.6,SI,NO,SI,NO,NO,MUJER,"125,962",2403.5,52,"36,238",3.46,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CANAS,F,56,URBANA,NO,SI,NO,SI,6.1,NO,NO,SI,NO,NO,MUJER,"26,201",682.2,38,"7,172",3.65,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
POCOCI,F,34,RURAL,NO,SI,NO,SI,7.6,NO,SI,SI,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
NARANJO,M,29,URBANA,NO,SI,NO,SI,8.5,NO,SI,NO,NO,NO,HOMBRE,"42,713",126.6,337,"11,678",3.65,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,59,URBANA,NO,SI,NO,SI,9.2,NO,NO,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PURISCAL,M,30,URBANA,NO,NO,NO,SI,9.2,SI,NO,SI,NO,NO,HOMBRE,"33,004",553.7,60,"9,787",3.36,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,M,26,URBANA,NO,SI,NO,SI,10.3,NO,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,F,47,RURAL,NO,SI,NO,SI,9,NO,NO,SI,NO,NO,HOMBRE,"80,566",1018.6,79,"23,301",3.44,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PARAISO,M,22,URBANA,NO,SI,NO,SI,8.3,NO,NO,SI,NO,NO,MUJER,"57,743",411.9,140,"14,626",3.94,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,M,64,URBANA,NO,SI,NO,SI,6.9,NO,SI,SI,NO,NO,HOMBRE,"80,566",1018.6,79,"23,301",3.44,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PEREZ ZELEDON,F,50,RURAL,NO,SI,NO,SI,5.8,NO,SI,SI,NO,NO,COMPARTIDO,"134,534",1905.5,71,"38,508",3.48,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
