Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
SAN RAFAEL,M,24,URBANA,NO,NO,NO,SI,10.6,NO,SI,SI,NO,NO,HOMBRE,"45,965",48.4,950,"12,957",3.54,LIBERACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PEREZ ZELEDON,M,34,RURAL,NO,NO,NO,SI,8.1,NO,SI,SI,NO,SI,HOMBRE,"134,534",1905.5,71,"38,508",3.48,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN JOSE,F,24,URBANA,NO,SI,NO,SI,10.3,SI,NO,SI,SI,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
HEREDIA,F,27,URBANA,NO,SI,NO,SI,11.2,NO,NO,NO,NO,NO,HOMBRE,"123,616",282.6,437,"35,216",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
POAS,M,42,URBANA,NO,SI,NO,SI,8.3,NO,SI,SI,NO,NO,HOMBRE,"29,199",73.8,395,"7,906",3.69,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
PEREZ ZELEDON,F,44,URBANA,NO,SI,NO,SI,8.1,NO,NO,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,RESTAURACION NACIONAL,ACCION CIUDADANA
TALAMANCA,M,48,RURAL,NO,SI,NO,SI,6.9,NO,SI,NO,NO,NO,HOMBRE,"30,712",2809.9,11,"7,999",3.83,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,F,63,URBANA,NO,SI,NO,SI,6.9,NO,NO,SI,NO,NO,HOMBRE,"80,566",1018.6,79,"23,301",3.44,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,F,54,URBANA,NO,SI,NO,SI,8,NO,NO,NO,NO,SI,HOMBRE,"99,399",44.8,2217,"26,979",3.67,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
NARANJO,F,34,URBANA,NO,NO,NO,SI,8.5,NO,NO,SI,NO,NO,HOMBRE,"42,713",126.6,337,"11,678",3.65,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
