Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
HEREDIA,F,62,URBANA,NO,SI,NO,SI,9.4,NO,NO,NO,NO,NO,MUJER,"123,616",282.6,437,"35,216",3.5,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PEREZ ZELEDON,M,36,URBANA,NO,NO,NO,SI,8.1,NO,NO,NO,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,ACCION CIUDADANA
TIBAS,F,50,URBANA,NO,NO,NO,SI,9.3,NO,SI,SI,NO,SI,HOMBRE,"64,842",8.1,7956,"19,160",3.38,LIBERACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SANTA ANA,F,49,RURAL,NO,SI,NO,SI,11.2,NO,SI,SI,NO,SI,HOMBRE,"49,123",61.4,800,"14,235",3.43,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MORAVIA,M,49,URBANA,NO,SI,NO,SI,11.7,NO,SI,SI,SI,NO,HOMBRE,"56,919",28.6,1989,"16,874",3.36,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SARAPIQUI,F,66,URBANA,NO,SI,NO,SI,4.6,NO,SI,SI,NO,NO,HOMBRE,"57,147",2140.5,27,"15,768",3.6,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
ALAJUELA,F,47,URBANA,NO,NO,NO,SI,9.4,NO,NO,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GRECIA,M,29,URBANA,NO,SI,NO,SI,8.8,NO,SI,SI,NO,NO,MUJER,"76,898",395.7,194,"21,709",3.53,ACCION CIUDADANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
POAS,F,56,RURAL,NO,SI,NO,SI,5.9,NO,NO,SI,NO,NO,HOMBRE,"29,199",73.8,395,"7,906",3.69,LIBERACION NACIONAL,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,19,URBANA,NO,NO,NO,SI,9.4,NO,NO,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,LIBERACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE ORO,F,27,URBANA,NO,SI,NO,SI,8.9,NO,NO,SI,NO,NO,HOMBRE,"12,950",244.8,53,"3,929",3.29,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,M,37,URBANA,NO,NO,NO,SI,9.6,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
